Z,N,Mass Excess [MeV],Error,Estimated
22,20,-25.104674,0.000277,0
22,21,-29.321082,0.007245,0
22,22,-37.548569,0.0007,0
22,23,-39.00984,0.000845,0
22,24,-44.127799,0.000165,0
22,25,-44.937364,0.000115,0
22,26,-48.492709,0.000109,0
22,27,-48.563787,0.000114,0
22,28,-51.43166,0.000121,0
22,29,-49.732837,0.000505,0
22,30,-49.46982,0.007072,0
22,31,-46.831061,0.100049,0
22,32,-45.621981,0.082461,0
22,33,-41.668088,0.161602,0
22,34,-39.320048,0.121247,0
22,35,-33.915633,0.256417,0
22,36,-31.11,0.2,1
22,37,-25.51,0.2,1
22,38,-22.33,0.3,1
22,39,-16.35,0.4,1
22,40,-12.5,0.4,1
22,41,-5.75,0.5,1
22,42,-1.025,0.6,1
23,17,12.17,0.3,1
23,18,0.32,0.2,1
23,19,-7.62,0.196,1
23,20,-17.916356,0.042849,0
23,21,-24.11638,0.181641,0
23,22,-31.886016,0.000872,0
23,23,-37.075351,0.000202,0
23,24,-42.006618,0.000169,0
23,25,-44.477694,0.000975,0
23,26,-47.961931,0.000828,0
23,27,-49.224013,0.000409,0
23,28,-52.203842,0.000401,0
23,29,-51.443769,0.00042,0
23,30,-51.851061,0.00312,0
23,31,-49.893173,0.015004,0
23,32,-49.144586,0.095104,0
23,33,-46.154881,0.176898,0
23,34,-44.41345,0.080479,0
23,35,-40.401753,0.089374,0
23,36,-37.832015,0.161874,0
23,37,-33.241956,0.220159,0
23,38,-30.506429,0.894234,0
23,39,-25.476,0.298,1
23,40,-21.89,0.4,1
23,41,-16.32,0.4,1
23,42,-11.78,0.5,1
23,43,-5.61,0.5,1
23,44,-0.65,0.6,1
24,18,6.73,0.4,1
24,19,-1.97,0.4,1
24,20,-13.36,0.3,1
24,21,-19.514799,0.035397,0
24,22,-29.471567,0.011453,0
24,23,-34.562578,0.00603,0
24,24,-42.82202,0.007324,0
24,25,-45.33306,0.002243,0
24,26,-50.262072,0.000437,0
24,27,-51.451395,0.0004,0
24,28,-55.419242,0.00034,0
24,29,-55.286999,0.000348,0
24,30,-56.934765,0.000353,0
24,31,-55.10971,0.000399,0
24,32,-55.285001,0.000603,0
24,33,-52.524702,0.001068,0
24,34,-51.991801,0.00149,0
24,35,-48.08576,0.216367,0
24,36,-46.669576,0.193593,0
24,37,-42.475229,0.101341,0
24,38,-40.894961,0.148099,0
24,39,-36.007474,0.358073,0
24,40,-33.479757,0.439665,0
24,41,-28.22,0.3,1
24,42,-24.72,0.4,1
24,43,-18.68,0.4,1
24,44,-14.8,0.5,1
24,45,-8.58,0.5,1
24,46,-4.48,0.6,1
25,19,7.03,0.5,1
25,20,-5.25,0.4,1
25,21,-12.57,0.4,1
25,22,-22.566374,0.031671,0
25,23,-29.296338,0.006939,0
25,24,-37.620634,0.002255,0
25,25,-42.627595,0.000442,0
25,26,-48.243877,0.000502,0
25,27,-50.707284,0.001845,0
25,28,-54.690116,0.00045,0
25,29,-55.557629,0.001059,0
25,30,-57.712413,0.000303,0
25,31,-56.911538,0.000331,0
25,32,-57.486251,0.001505,0
25,33,-55.82756,0.002701,0
25,34,-55.52532,0.002329,0
25,35,-52.967938,0.002329,0
25,36,-51.742122,0.002329,0
25,37,-48.523957,0.006542,0
25,38,-46.887053,0.003726,0
25,39,-42.989035,0.00354,0
25,40,-40.967339,0.003726,0
25,41,-36.750387,0.011178,0
25,42,-33.46,0.3,1
25,43,-28.38,0.4,1
25,44,-24.77,0.4,1
25,45,-19.5,0.5,1
25,46,-15.57,0.5,1
25,47,-9.9,0.6,1
26,19,13.762,0.4,1
26,20,0.91,0.5,1
26,21,-6.87,0.5,1
26,22,-18,0.4,1
26,23,-24.750727,0.024219,0
26,24,-34.476456,0.008383,0
26,25,-40.202555,0.008964,0
26,26,-48.330363,0.005117,0
26,27,-50.94753,0.001656,0
26,28,-56.2545,0.000372,0
26,29,-57.4813,0.000342,0
26,30,-60.607082,0.000302,0
26,31,-60.181839,0.000304,0
26,32,-62.155113,0.000343,0
26,33,-60.664805,0.000355,0
26,34,-61.413017,0.003409,0
26,35,-58.920494,0.002608,0
26,36,-58.878048,0.002794,0
26,37,-55.635621,0.004302,0
26,38,-54.969544,0.005017,0
26,39,-51.217895,0.005112,0
26,40,-50.067839,0.004099,0
26,41,-45.610155,0.270285,0
26,42,-43.486914,0.365259,0
26,43,-39.03,0.4,1
26,44,-36.51,0.4,1
26,45,-31.43,0.4,1
26,46,-28.43,0.5,1
26,47,-22.9,0.5,1
26,48,-19.59,0.6,1
26,49,-13.64,0.6,1
27,20,10.37,0.6,1
27,21,1.5,0.5,1
27,22,-9.88,0.5,1
27,23,-17.63,0.4,1
27,24,-27.342143,0.048438,0
27,25,-34.360951,0.008383,0
27,26,-42.659428,0.001713,0
27,27,-48.009953,0.000383,0
27,28,-54.029883,0.000428,0
27,29,-56.040402,0.000493,0
27,30,-59.345564,0.000533,0
27,31,-59.847158,0.00116,0
27,32,-62.229709,0.000418,0
27,33,-61.650309,0.000424,0
27,34,-62.898066,0.000846,0
27,35,-61.424282,0.018575,0
27,36,-61.85144,0.018575,0
27,37,-59.792329,0.020006,0
27,38,-59.185198,0.002083,0
27,39,-56.408533,0.013972,0
27,40,-55.321775,0.006443,0
27,41,-51.930665,0.189497,0
27,42,-50.279157,0.140506,0
27,43,-46.63,0.3,1
27,44,-44.369926,0.46503,0
27,45,-40.2,0.4,1
27,46,-37.418,0.4,1
27,47,-32.82,0.5,1
