N,Z,D to use,,,,,,,,,,,,,,,,,,,
80,50,-80138.9,,,,,,,,,,,,,,,,,,,
79,51,-82291.6,,,,,,,,,,,,,,,,,,,
78,52,-87351.4,,,,,,,,,,,,,,,,,,,
77,53,-86932.4,,,,,,,,,,,,,,,,,,,
76,54,-89881.7,,,,,,,,,,,,,,,,,,,
75,55,-86900.4,,,,,,,,,,,,,,,,,,,
74,56,-87261.6,,,,,,,,,,,,,,,,,,,
73,57,-81628,,,,,,,,,,,,,,,,,,,
72,58,-79422.9,,,,,,,,,,,,,,,,,,,
71,59,-71175.5,,,,,,,,,,,,,,,,,,,
70,60,-66596.2,,,,,,,,,,,,,,,,,,,
69,61,-55470,,,,,,,,,,,,,,,,,,,
68,62,-47581,,,,,,,,,,,,,,,,,,,
67,63,-33936,,,,,,,,,,,,,,,,,,,
83,48,-55266,,,,,,,,,,,,,,,,,,,
82,49,-68137.1,,,,,,,,,,,,,,,,,,,
81,50,-77314.2,,,,,,,,,,,,,,,,,,,
80,51,-81988,,,,,,,,,,,,,,,,,,,
79,52,-85209.5,,,,,,,,,,,,,,,,,,,
78,53,-87444.4,,,,,,,,,,,,,,,,,,,
77,54,-88415.2,,,,,,,,,,,,,,,,,,,
76,55,-88059.8,,,,,,,,,,,,,,,,,,,
75,56,-86683.8,,,,,,,,,,,,,,,,,,,
74,57,-83769.3,,,,,,,,,,,,,,,,,,,
73,58,-79715.4,,,,,,,,,,,,,,,,,,,
72,59,-74278.3,,,,,,,,,,,,,,,,,,,
71,60,-67769,,,,,,,,,,,,,,,,,,,
70,61,-59737,,,,,,,,,,,,,,,,,,,
69,62,-50198,,,,,,,,,,,,,,,,,,,
68,63,-39353,,,,,,,,,,,,,,,,,,,
84,48,-50720,,,,,,,,,,,,,,,,,,,
83,49,-62419.2,,,,,,,,,,,,,,,,,,,
82,50,-76554.2,,,,,,,,,,,,,,,,,,,
81,51,-79673.6,,,,,,,,,,,,,,,,,,,
80,52,-85182.2,,,,,,,,,,,,,,,,,,,
79,53,-85699.9,,,,,,,,,,,,,,,,,,,
78,54,-89280.5,,,,,,,,,,,,,,,,,,,
77,55,-87155.9,,,,,,,,,,,,,,,,,,,
76,56,-88434.8,,,,,,,,,,,,,,,,,,,
75,57,-83740.2,,,,,,,,,,,,,,,,,,,
74,58,-82474,,,,,,,,,,,,,,,,,,,
73,59,-75213.5,,,,,,,,,,,,,,,,,,,
72,60,-71425.8,,,,,,,,,,,,,,,,,,,
71,61,-61711,,,,,,,,,,,,,,,,,,,
70,62,-55247,,,,,,,,,,,,,,,,,,,
69,63,-42504,,,,,,,,,,,,,,,,,,,
84,49,-57930,,,,,,,,,,,,,,,,,,,
83,50,-70952.6,,,,,,,,,,,,,,,,,,,
82,51,-78942.6,,,,,,,,,,,,,,,,,,,
81,52,-82944.6,,,,,,,,,,,,,,,,,,,
80,53,-85886.6,,,,,,,,,,,,,,,,,,,
79,54,-87643.6,,,,,,,,,,,,,,,,,,,
78,55,-88071,,,,,,,,,,,,,,,,,,,
77,56,-87553.5,,,,,,,,,,,,,,,,,,,
76,57,-85494.4,,,,,,,,,,,,,,,,,,,
75,58,-82423.2,,,,,,,,,,,,,,,,,,,
74,59,-77937.6,,,,,,,,,,,,,,,,,,,
73,60,-72332.4,,,,,,,,,,,,,,,,,,,
72,61,-65407.6,,,,,,,,,,,,,,,,,,,
71,62,-57129,,,,,,,,,,,,,,,,,,,
70,63,-47283,,,,,,,,,,,,,,,,,,,
85,49,-52024,,,,,,,,,,,,,,,,,,,
84,50,-66795.8,,,,,,,,,,,,,,,,,,,
83,51,-74165.8,,,,,,,,,,,,,,,,,,,
82,52,-82559.5,,,,,,,,,,,,,,,,,,,
81,53,-84072.5,,,,,,,,,,,,,,,,,,,
80,54,-88124.5,,,,,,,,,,,,,,,,,,,
79,55,-86891.2,,,,,,,,,,,,,,,,,,,
78,56,-88949.9,,,,,,,,,,,,,,,,,,,
77,57,-85218.7,,,,,,,,,,,,,,,,,,,
76,58,-84836,,,,,,,,,,,,,,,,,,,
75,59,-78514,,,,,,,,,,,,,,,,,,,
74,60,-75646.5,,,,,,,,,,,,,,,,,,,
73,61,-66738.8,,,,,,,,,,,,,,,,,,,
72,62,-61507,,,,,,,,,,,,,,,,,,,
71,63,-49826,,,,,,,,,,,,,,,,,,,
70,64,-41573,,,,,,,,,,,,,,,,,,,
86,49,-47199,,,,,,,,,,,,,,,,,,,
85,50,-60799,,,,,,,,,,,,,,,,,,,
84,51,-69707.6,,,,,,,,,,,,,,,,,,,
83,52,-77827.6,,,,,,,,,,,,,,,,,,,
82,53,-83789.6,,,,,,,,,,,,,,,,,,,
81,54,-86417,,,,,,,,,,,,,,,,,,,
80,55,-87581.9,,,,,,,,,,,,,,,,,,,
79,56,-87850.5,,,,,,,,,,,,,,,,,,,
78,57,-86650.5,,,,,,,,,,,,,,,,,,,
77,58,-84624.9,,,,,,,,,,,,,,,,,,,
76,59,-80935.9,,,,,,,,,,,,,,,,,,,
75,60,-76213.8,,,,,,,,,,,,,,,,,,,
74,61,-69977.6,,,,,,,,,,,,,,,,,,,
73,62,-62857.2,,,,,,,,,,,,,,,,,,,
72,63,-54194,,,,,,,,,,,,,,,,,,,
71,64,-44181,,,,,,,,,,,,,,,,,,,
86,50,-56504,,,,,,,,,,,,,,,,,,,
85,51,-64879,,,,,,,,,,,,,,,,,,,
84,52,-74425.2,,,,,,,,,,,,,,,,,,,
83,53,-79499.3,,,,,,,,,,,,,,,,,,,
82,54,-86425.1,,,,,,,,,,,,,,,,,,,
81,55,-86338.7,,,,,,,,,,,,,,,,,,,
80,56,-88886.9,,,,,,,,,,,,,,,,,,,
79,57,-86036.9,,,,,,,,,,,,,,,,,,,
78,58,-86468.3,,,,,,,,,,,,,,,,,,,
77,59,-81327.2,,,,,,,,,,,,,,,,,,,
76,60,-79199.3,,,,,,,,,,,,,,,,,,,
75,61,-71198,,,,,,,,,,,,,,,,,,,
74,62,-66810.9,,,,,,,,,,,,,,,,,,,
73,63,-56262,,,,,,,,,,,,,,,,,,,
72,64,-49052,,,,,,,,,,,,,,,,,,,
71,65,-35974,,,,,,,,,,,,,,,,,,,
87,50,-50310,,,,,,,,,,,,,,,,,,,
86,51,-60258,,,,,,,,,,,,,,,,,,,
85,52,-69561.2,,,,,,,,,,,,,,,,,,,
84,53,-76502.8,,,,,,,,,,,,,,,,,,,
83,54,-82379.4,,,,,,,,,,,,,,,,,,,
82,55,-86545.6,,,,,,,,,,,,,,,,,,,
81,56,-87721.2,,,,,,,,,,,,,,,,,,,
80,57,-87100.7,,,,,,,,,,,,,,,,,,,
79,58,-85878.6,,,,,,,,,,,,,,,,,,,
78,59,-83177.3,,,,,,,,,,,,,,,,,,,
77,60,-79580.2,,,,,,,,,,,,,,,,,,,
76,61,-74072.9,,,,,,,,,,,,,,,,,,,
75,62,-68025.4,,,,,,,,,,,,,,,,,,,
74,63,-60016,,,,,,,,,,,,,,,,,,,
73,64,-51214,,,,,,,,,,,,,,,,,,,
72,65,-41004,,,,,,,,,,,,,,,,,,,
87,51,-55154,,,,,,,,,,,,,,,,,,,
86,52,-65931,,,,,,,,,,,,,,,,,,,
85,53,-72330.9,,,,,,,,,,,,,,,,,,,
84,54,-80150.9,,,,,,,,,,,,,,,,,,,
83,55,-82887.4,,,,,,,,,,,,,,,,,,,
82,56,-88261.6,,,,,,,,,,,,,,,,,,,
81,57,-86524.7,,,,,,,,,,,,,,,,,,,
80,58,-87568.5,,,,,,,,,,,,,,,,,,,
79,59,-83131.5,,,,,,,,,,,,,,,,,,,
78,60,-82018.1,,,,,,,,,,,,,,,,,,,
77,61,-74940.3,,,,,,,,,,,,,,,,,,,
76,62,-71497.8,,,,,,,,,,,,,,,,,,,
75,63,-61749.7,,,,,,,,,,,,,,,,,,,
74,64,-55778,,,,,,,,,,,,,,,,,,,
73,65,-43631,,,,,,,,,,,,,,,,,,,
72,66,-34940,,,,,,,,,,,,,,,,,,,
88,51,-50319,,,,,,,,,,,,,,,,,,,
87,52,-60799,,,,,,,,,,,,,,,,,,,
86,53,-68837.9,,,,,,,,,,,,,,,,,,,
85,54,-75643.9,,,,,,,,,,,,,,,,,,,
84,55,-80700.9,,,,,,,,,,,,,,,,,,,
83,56,-84913.7,,,,,,,,,,,,,,,,,,,
82,57,-87231.4,,,,,,,,,,,,,,,,,,,
81,58,-86952.5,,,,,,,,,,,,,,,,,,,
80,59,-84823.3,,,,,,,,,,,,,,,,,,,
79,60,-81991.7,,,,,,,,,,,,,,,,,,,
78,61,-77496.5,,,,,,,,,,,,,,,,,,,
77,62,-72380.2,,,,,,,,,,,,,,,,,,,
76,63,-65398.1,,,,,,,,,,,,,,,,,,,
75,64,-57529,,,,,,,,,,,,,,,,,,,
74,65,-48168,,,,,,,,,,,,,,,,,,,
73,66,-37688,,,,,,,,,,,,,,,,,,,
88,52,-56961,,,,,,,,,,,,,,,,,,,
87,53,-64273,,,,,,,,,,,,,,,,,,,
86,54,-72991,,,,,,,,,,,,,,,,,,,
85,55,-77051,,,,,,,,,,,,,,,,,,,
84,56,-83271.4,,,,,,,,,,,,,,,,,,,
83,57,-84321,,,,,,,,,,,,,,,,,,,
82,58,-88083.3,,,,,,,,,,,,,,,,,,,
81,59,-84695.3,,,,,,,,,,,,,,,,,,,
80,60,-84251.8,,,,,,,,,,,,,,,,,,,
79,61,-78206.6,,,,,,,,,,,,,,,,,,,
78,62,-75456,,,,,,,,,,,,,,,,,,,
77,63,-66986,,,,,,,,,,,,,,,,,,,
76,64,-61782.3,,,,,,,,,,,,,,,,,,,
75,65,-50482.3,,,,,,,,,,,,,,,,,,,
74,66,-42839,,,,,,,,,,,,,,,,,,,
73,67,-29305,,,,,,,,,,,,,,,,,,,
89,52,-51558,,,,,,,,,,,,,,,,,,,
88,53,-60519,,,,,,,,,,,,,,,,,,,
87,54,-68326.9,,,,,,,,,,,,,,,,,,,
86,55,-74476.9,,,,,,,,,,,,,,,,,,,
85,56,-79725.6,,,,,,,,,,,,,,,,,,,
84,57,-82938.2,,,,,,,,,,,,,,,,,,,
83,58,-85440.1,,,,,,,,,,,,,,,,,,,
82,59,-86020.9,,,,,,,,,,,,,,,,,,,
81,60,-84197.9,,,,,,,,,,,,,,,,,,,
80,61,-80522.9,,,,,,,,,,,,,,,,,,,
79,62,-75938.7,,,,,,,,,,,,,,,,,,,
78,63,-69926.6,,,,,,,,,,,,,,,,,,,
77,64,-63224.2,,,,,,,,,,,,,,,,,,,
76,65,-54540.8,,,,,,,,,,,,,,,,,,,
75,66,-45317,,,,,,,,,,,,,,,,,,,
74,67,-34374,,,,,,,,,,,,,,,,,,,
90,52,-47432,,,,,,,,,,,,,,,,,,,
89,53,-55722,,,,,,,,,,,,,,,,,,,
88,54,-65475.1,,,,,,,,,,,,,,,,,,,
87,55,-70515.1,,,,,,,,,,,,,,,,,,,
86,56,-77823.1,,,,,,,,,,,,,,,,,,,
85,57,-80034.8,,,,,,,,,,,,,,,,,,,
84,58,-84538.5,,,,,,,,,,,,,,,,,,,
83,59,-83792.7,,,,,,,,,,,,,,,,,,,
82,60,-85955.2,,,,,,,,,,,,,,,,,,,
81,61,-81156.9,,,,,,,,,,,,,,,,,,,
80,62,-78992.9,,,,,,,,,,,,,,,,,,,
79,63,-71319.9,,,,,,,,,,,,,,,,,,,
78,64,-66959.5,,,,,,,,,,,,,,,,,,,
77,65,-57060,,,,,,,,,,,,,,,,,,,
76,66,-49960,,,,,,,,,,,,,,,,,,,
75,67,-37474,,,,,,,,,,,,,,,,,,,
90,53,-51642,,,,,,,,,,,,,,,,,,,
89,54,-60445,,,,,,,,,,,,,,,,,,,
88,55,-67671.4,,,,,,,,,,,,,,,,,,,
87,56,-73935.7,,,,,,,,,,,,,,,,,,,
86,57,-78187.1,,,,,,,,,,,,,,,,,,,
85,58,-81612,,,,,,,,,,,,,,,,,,,
84,59,-83073.5,,,,,,,,,,,,,,,,,,,
83,60,-84007.4,,,,,,,,,,,,,,,,,,,
82,61,-82965.7,,,,,,,,,,,,,,,,,,,
81,62,-79523.2,,,,,,,,,,,,,,,,,,,
80,63,-74242.4,,,,,,,,,,,,,,,,,,,
79,64,-68232.4,,,,,,,,,,,,,,,,,,,
78,65,-60434.4,,,,,,,,,,,,,,,,,,,
77,66,-52322,,,,,,,,,,,,,,,,,,,
76,67,-42281,,,,,,,,,,,,,,,,,,,
75,68,-31354,,,,,,,,,,,,,,,,,,,
91,53,-46584,,,,,,,,,,,,,,,,,,,
90,54,-57278,,,,,,,,,,,,,,,,,,,
89,55,-63269.9,,,,,,,,,,,,,,,,,,,
88,56,-71769,,,,,,,,,,,,,,,,,,,
87,57,-74892.4,,,,,,,,,,,,,,,,,,,
86,58,-80437,,,,,,,,,,,,,,,,,,,
85,59,-80755.6,,,,,,,,,,,,,,,,,,,
84,60,-83753.2,,,,,,,,,,,,,,,,,,,
83,61,-81421.1,,,,,,,,,,,,,,,,,,,
82,62,-81972,,,,,,,,,,,,,,,,,,,
81,63,-75621.6,,,,,,,,,,,,,,,,,,,
80,64,-71759.5,,,,,,,,,,,,,,,,,,,
79,65,-62368.2,,,,,,,,,,,,,,,,,,,
78,66,-56584.5,,,,,,,,,,,,,,,,,,,
77,67,-45196,,,,,,,,,,,,,,,,,,,
76,68,-36906,,,,,,,,,,,,,,,,,,,
91,54,-52098,,,,,,,,,,,,,,,,,,,
90,55,-60057,,,,,,,,,,,,,,,,,,,
89,56,-67415,,,,,,,,,,,,,,,,,,,
88,57,-72986.8,,,,,,,,,,,,,,,,,,,
87,58,-77096.8,,,,,,,,,,,,,,,,,,,
86,59,-79631.8,,,,,,,,,,,,,,,,,,,
85,60,-81437.1,,,,,,,,,,,,,,,,,,,
84,61,-81273.8,,,,,,,,,,,,,,,,,,,
83,62,-80657.7,,,,,,,,,,,,,,,,,,,
82,63,-77998.4,,,,,,,,,,,,,,,,,,,
81,64,-72927.4,,,,,,,,,,,,,,,,,,,
80,65,-65880.8,,,,,,,,,,,,,,,,,,,
79,66,-58288.2,,,,,,,,,,,,,,,,,,,
78,67,-49183,,,,,,,,,,,,,,,,,,,
77,68,-39691,,,,,,,,,,,,,,,,,,,
76,69,-27877,,,,,,,,,,,,,,,,,,,
92,54,-48671,,,,,,,,,,,,,,,,,,,
91,55,-55620,,,,,,,,,,,,,,,,,,,
90,56,-65000.1,,,,,,,,,,,,,,,,,,,
89,57,-69122.9,,,,,,,,,,,,,,,,,,,
88,58,-75675.5,,,,,,,,,,,,,,,,,,,
87,59,-76713.8,,,,,,,,,,,,,,,,,,,
86,60,-80931.1,,,,,,,,,,,,,,,,,,,
85,61,-79459.9,,,,,,,,,,,,,,,,,,,
84,62,-81001.9,,,,,,,,,,,,,,,,,,,
83,63,-77122.3,,,,,,,,,,,,,,,,,,,
82,64,-76093.2,,,,,,,,,,,,,,,,,,,
81,65,-67769.4,,,,,,,,,,,,,,,,,,,
80,66,-62554.1,,,,,,,,,,,,,,,,,,,
79,67,-51568,,,,,,,,,,,,,,,,,,,
78,68,-44712,,,,,,,,,,,,,,,,,,,
77,69,-31275,,,,,,,,,,,,,,,,,,,
93,54,-43259,,,,,,,,,,,,,,,,,,,
92,55,-52019.3,,,,,,,,,,,,,,,,,,,
91,56,-60598,,,,,,,,,,,,,,,,,,,
90,57,-66848.4,,,,,,,,,,,,,,,,,,,
89,58,-72028.7,,,,,,,,,,,,,,,,,,,
88,59,-75454.7,,,,,,,,,,,,,,,,,,,
87,60,-78151.9,,,,,,,,,,,,,,,,,,,
86,61,-79047.9,,,,,,,,,,,,,,,,,,,
85,62,-79272.1,,,,,,,,,,,,,,,,,,,
84,63,-77550.5,,,,,,,,,,,,,,,,,,,
83,64,-75363.1,,,,,,,,,,,,,,,,,,,
82,65,-70752,,,,,,,,,,,,,,,,,,,
81,66,-64187.9,,,,,,,,,,,,,,,,,,,
80,67,-55837.5,,,,,,,,,,,,,,,,,,,
79,68,-47050,,,,,,,,,,,,,,,,,,,
78,69,-36365,,,,,,,,,,,,,,,,,,,
93,55,-47303,,,,,,,,,,,,,,,,,,,
92,56,-58013.4,,,,,,,,,,,,,,,,,,,
91,57,-63128.4,,,,,,,,,,,,,,,,,,,
90,58,-70390.8,,,,,,,,,,,,,,,,,,,
89,59,-72530.8,,,,,,,,,,,,,,,,,,,
88,60,-77413.4,,,,,,,,,,,,,,,,,,,
87,61,-76871.9,,,,,,,,,,,,,,,,,,,
86,62,-79342.2,,,,,,,,,,,,,,,,,,,
85,63,-76302.5,,,,,,,,,,,,,,,,,,,
84,64,-76275.8,,,,,,,,,,,,,,,,,,,
83,65,-70540.5,,,,,,,,,,,,,,,,,,,
82,66,-67859.5,,,,,,,,,,,,,,,,,,,
81,67,-58015.3,,,,,,,,,,,,,,,,,,,
80,68,-51651,,,,,,,,,,,,,,,,,,,
79,69,-39272,,,,,,,,,,,,,,,,,,,
78,70,-30348,,,,,,,,,,,,,,,,,,,
94,55,-43845,,,,,,,,,,,,,,,,,,,
93,56,-53486,,,,,,,,,,,,,,,,,,,
92,57,-60795,,,,,,,,,,,,,,,,,,,
91,58,-66695.1,,,,,,,,,,,,,,,,,,,
90,59,-71056.6,,,,,,,,,,,,,,,,,,,
89,60,-74380.9,,,,,,,,,,,,,,,,,,,
88,61,-76071.2,,,,,,,,,,,,,,,,,,,
87,62,-77141.9,,,,,,,,,,,,,,,,,,,
86,63,-76446.6,,,,,,,,,,,,,,,,,,,
85,64,-75133.5,,,,,,,,,,,,,,,,,,,
84,65,-71496,,,,,,,,,,,,,,,,,,,
83,66,-67715.2,,,,,,,,,,,,,,,,,,,
82,67,-61688.4,,,,,,,,,,,,,,,,,,,
81,68,-53741.6,,,,,,,,,,,,,,,,,,,
80,69,-44041,,,,,,,,,,,,,,,,,,,
79,70,-33497,,,,,,,,,,,,,,,,,,,
95,55,-38964,,,,,,,,,,,,,,,,,,,
94,56,-50599,,,,,,,,,,,,,,,,,,,
93,57,-57035,,,,,,,,,,,,,,,,,,,
92,58,-64823.7,,,,,,,,,,,,,,,,,,,
91,59,-68303.7,,,,,,,,,,,,,,,,,,,
90,60,-73689.7,,,,,,,,,,,,,,,,,,,
89,61,-73603.3,,,,,,,,,,,,,,,,,,,
88,62,-77057.3,,,,,,,,,,,,,,,,,,,
87,63,-74797.3,,,,,,,,,,,,,,,,,,,
86,64,-75768.8,,,,,,,,,,,,,,,,,,,
85,65,-71110.5,,,,,,,,,,,,,,,,,,,
84,66,-69317,,,,,,,,,,,,,,,,,,,
83,67,-61947.9,,,,,,,,,,,,,,,,,,,
82,68,-57832.9,,,,,,,,,,,,,,,,,,,
81,69,-46612,,,,,,,,,,,,,,,,,,,
80,70,-38732,,,,,,,,,,,,,,,,,,,
79,71,-24938,,,,,,,,,,,,,,,,,,,
96,55,-35220,,,,,,,,,,,,,,,,,,,
95,56,-45820,,,,,,,,,,,,,,,,,,,
94,57,-54287,,,,,,,,,,,,,,,,,,,
93,58,-61500.8,,,,,,,,,,,,,,,,,,,
92,59,-66770.8,,,,,,,,,,,,,,,,,,,
91,60,-70952.9,,,,,,,,,,,,,,,,,,,
90,61,-73395.2,,,,,,,,,,,,,,,,,,,
89,62,-74582.5,,,,,,,,,,,,,,,,,,,
88,63,-74659.1,,,,,,,,,,,,,,,,,,,
87,64,-74194.9,,,,,,,,,,,,,,,,,,,
86,65,-71629.5,,,,,,,,,,,,,,,,,,,
85,66,-68758.6,,,,,,,,,,,,,,,,,,,
84,67,-63632.1,,,,,,,,,,,,,,,,,,,
83,68,-58266,,,,,,,,,,,,,,,,,,,
82,69,-50781.8,,,,,,,,,,,,,,,,,,,
81,70,-41543.9,,,,,,,,,,,,,,,,,,,
80,71,-30202,,,,,,,,,,,,,,,,,,,
96,56,-42597,,,,,,,,,,,,,,,,,,,
95,57,-50068,,,,,,,,,,,,,,,,,,,
94,58,-59113,,,,,,,,,,,,,,,,,,,
93,59,-63808.1,,,,,,,,,,,,,,,,,,,
92,60,-70158.1,,,,,,,,,,,,,,,,,,,
91,61,-71262.3,,,,,,,,,,,,,,,,,,,
90,62,-74768.8,,,,,,,,,,,,,,,,,,,
89,63,-72894.5,,,,,,,,,,,,,,,,,,,
88,64,-74714.2,,,,,,,,,,,,,,,,,,,
87,65,-70724.2,,,,,,,,,,,,,,,,,,,
86,66,-70124.5,,,,,,,,,,,,,,,,,,,
85,67,-63608.3,,,,,,,,,,,,,,,,,,,
84,68,-60500.2,,,,,,,,,,,,,,,,,,,
83,69,-51770.6,,,,,,,,,,,,,,,,,,,
82,70,-46305.6,,,,,,,,,,,,,,,,,,,
81,71,-33422,,,,,,,,,,,,,,,,,,,
97,56,-37623,,,,,,,,,,,,,,,,,,,
96,57,-46929,,,,,,,,,,,,,,,,,,,
95,58,-55349,,,,,,,,,,,,,,,,,,,
94,59,-61628.7,,,,,,,,,,,,,,,,,,,
93,60,-67348.7,,,,,,,,,,,,,,,,,,,
92,61,-70684.7,,,,,,,,,,,,,,,,,,,
91,62,-72565.8,,,,,,,,,,,,,,,,,,,
90,63,-73373.5,,,,,,,,,,,,,,,,,,,
89,64,-72889.8,,,,,,,,,,,,,,,,,,,
88,65,-71320.2,,,,,,,,,,,,,,,,,,,
87,66,-69149.8,,,,,,,,,,,,,,,,,,,
86,67,-65019.4,,,,,,,,,,,,,,,,,,,
85,68,-60488,,,,,,,,,,,,,,,,,,,
84,69,-54015.4,,,,,,,,,,,,,,,,,,,
83,70,-47059,,,,,,,,,,,,,,,,,,,
82,71,-38408,,,,,,,,,,,,,,,,,,,
81,72,-27302,,,,,,,,,,,,,,,,,,,
97,57,-42383,,,,,,,,,,,,,,,,,,,
96,58,-52704,,,,,,,,,,,,,,,,,,,
95,59,-58201.5,,,,,,,,,,,,,,,,,,,
94,60,-65691.5,,,,,,,,,,,,,,,,,,,
93,61,-68498.4,,,,,,,,,,,,,,,,,,,
92,62,-72461.6,,,,,,,,,,,,,,,,,,,
91,63,-71744.4,,,,,,,,,,,,,,,,,,,
90,64,-73713.2,,,,,,,,,,,,,,,,,,,
89,65,-70162,,,,,,,,,,,,,,,,,,,
88,66,-70398.2,,,,,,,,,,,,,,,,,,,
87,67,-64644.2,,,,,,,,,,,,,,,,,,,
86,68,-62612.2,,,,,,,,,,,,,,,,,,,
85,69,-54429.2,,,,,,,,,,,,,,,,,,,
84,70,-49933.7,,,,,,,,,,,,,,,,,,,
83,71,-39568,,,,,,,,,,,,,,,,,,,
82,72,-32733,,,,,,,,,,,,,,,,,,,
98,57,-38797,,,,,,,,,,,,,,,,,,,
97,58,-48400,,,,,,,,,,,,,,,,,,,
96,59,-55778,,,,,,,,,,,,,,,,,,,
95,60,-62473,,,,,,,,,,,,,,,,,,,
94,61,-66973.2,,,,,,,,,,,,,,,,,,,
93,62,-70197.2,,,,,,,,,,,,,,,,,,,
92,63,-71824.5,,,,,,,,,,,,,,,,,,,
91,64,-72077.1,,,,,,,,,,,,,,,,,,,
90,65,-71254.4,,,,,,,,,,,,,,,,,,,
89,66,-69159.9,,,,,,,,,,,,,,,,,,,
88,67,-66039.7,,,,,,,,,,,,,,,,,,,
87,68,-62215.5,,,,,,,,,,,,,,,,,,,
86,69,-56635.3,,,,,,,,,,,,,,,,,,,
85,70,-50503.4,,,,,,,,,,,,,,,,,,,
84,71,-42554.2,,,,,,,,,,,,,,,,,,,
83,72,-34102,,,,,,,,,,,,,,,,,,,
82,73,-23668,,,,,,,,,,,,,,,,,,,
98,58,-45401,,,,,,,,,,,,,,,,,,,
97,59,-51912,,,,,,,,,,,,,,,,,,,
96,60,-60530.2,,,,,,,,,,,,,,,,,,,
95,61,-64220.2,,,,,,,,,,,,,,,,,,,
94,62,-69370.3,,,,,,,,,,,,,,,,,,,
93,63,-70092.8,,,,,,,,,,,,,,,,,,,
92,64,-72542.2,,,,,,,,,,,,,,,,,,,
91,65,-70097.5,,,,,,,,,,,,,,,,,,,
90,66,-70529.8,,,,,,,,,,,,,,,,,,,
89,67,-65354.6,,,,,,,,,,,,,,,,,,,
88,68,-64212.8,,,,,,,,,,,,,,,,,,,
87,69,-56839.8,,,,,,,,,,,,,,,,,,,
86,70,-53264.5,,,,,,,,,,,,,,,,,,,
85,71,-43749.9,,,,,,,,,,,,,,,,,,,
84,72,-37852.2,,,,,,,,,,,,,,,,,,,
83,73,-25799,,,,,,,,,,,,,,,,,,,
99,58,-40669,,,,,,,,,,,,,,,,,,,
98,59,-48969,,,,,,,,,,,,,,,,,,,
97,60,-56793,,,,,,,,,,,,,,,,,,,
96,61,-62373.4,,,,,,,,,,,,,,,,,,,
95,62,-66733.4,,,,,,,,,,,,,,,,,,,
94,63,-69467.4,,,,,,,,,,,,,,,,,,,
93,64,-70830.7,,,,,,,,,,,,,,,,,,,
92,65,-70770.6,,,,,,,,,,,,,,,,,,,
91,66,-69427.9,,,,,,,,,,,,,,,,,,,
90,67,-66828.9,,,,,,,,,,,,,,,,,,,
89,68,-63419.8,,,,,,,,,,,,,,,,,,,
88,69,-58709.3,,,,,,,,,,,,,,,,,,,
87,70,-53441.8,,,,,,,,,,,,,,,,,,,
86,71,-46483.1,,,,,,,,,,,,,,,,,,,
85,72,-38754,,,,,,,,,,,,,,,,,,,
84,73,-29628.5,,,,,,,,,,,,,,,,,,,
99,59,-44730,,,,,,,,,,,,,,,,,,,
98,60,-54399,,,,,,,,,,,,,,,,,,,
97,61,-59092.7,,,,,,,,,,,,,,,,,,,
96,62,-65212.7,,,,,,,,,,,,,,,,,,,
95,63,-67211.7,,,,,,,,,,,,,,,,,,,
94,64,-70696.8,,,,,,,,,,,,,,,,,,,
93,65,-69477.2,,,,,,,,,,,,,,,,,,,
92,66,-70412.1,,,,,,,,,,,,,,,,,,,
91,67,-66191,,,,,,,,,,,,,,,,,,,
90,68,-65303.8,,,,,,,,,,,,,,,,,,,
89,69,-58703.2,,,,,,,,,,,,,,,,,,,
88,70,-56014.8,,,,,,,,,,,,,,,,,,,
87,71,-47214.4,,,,,,,,,,,,,,,,,,,
86,72,-42104.1,,,,,,,,,,,,,,,,,,,
85,73,-31019,,,,,,,,,,,,,,,,,,,
84,74,-23695,,,,,,,,,,,,,,,,,,,
100,59,-41451,,,,,,,,,,,,,,,,,,,
99,60,-50217,,,,,,,,,,,,,,,,,,,
98,61,-56849,,,,,,,,,,,,,,,,,,,
97,62,-62213.3,,,,,,,,,,,,,,,,,,,
96,63,-66053.3,,,,,,,,,,,,,,,,,,,
95,64,-68568.5,,,,,,,,,,,,,,,,,,,
94,65,-69539,,,,,,,,,,,,,,,,,,,
93,66,-69173.5,,,,,,,,,,,,,,,,,,,
92,67,-67335.9,,,,,,,,,,,,,,,,,,,
91,68,-64567.4,,,,,,,,,,,,,,,,,,,
90,69,-60570.4,,,,,,,,,,,,,,,,,,,
89,70,-55843,,,,,,,,,,,,,,,,,,,
88,71,-49715,,,,,,,,,,,,,,,,,,,
87,72,-42853.5,,,,,,,,,,,,,,,,,,,
86,73,-34448.4,,,,,,,,,,,,,,,,,,,
85,74,-25227,,,,,,,,,,,,,,,,,,,
100,60,-47422,,,,,,,,,,,,,,,,,,,
99,61,-53104,,,,,,,,,,,,,,,,,,,
98,62,-60417,,,,,,,,,,,,,,,,,,,
97,63,-63369,,,,,,,,,,,,,,,,,,,
96,64,-67948.6,,,,,,,,,,,,,,,,,,,
95,65,-67842.9,,,,,,,,,,,,,,,,,,,
94,66,-69678.1,,,,,,,,,,,,,,,,,,,
93,67,-66388.1,,,,,,,,,,,,,,,,,,,
92,68,-66058.5,,,,,,,,,,,,,,,,,,,
91,69,-60302.3,,,,,,,,,,,,,,,,,,,
90,70,-58169.6,,,,,,,,,,,,,,,,,,,
89,71,-50269.9,,,,,,,,,,,,,,,,,,,
