N,Z,D to use,,,,,,,,,,,,,,,,,,,
21,16,-26896.4,,,,,,,,,,,,,,,,,,,
20,17,-31761.5,,,,,,,,,,,,,,,,,,,
19,18,-30947.7,,,,,,,,,,,,,,,,,,,
18,19,-24800.2,,,,,,,,,,,,,,,,,,,
17,20,-13161.8,,,,,,,,,,,,,,,,,,,
16,21,2841.01,,,,,,,,,,,,,,,,,,,
26,12,34996.01,,,,,,,,,,,,,,,,,,,
25,13,16050.59,,,,,,,,,,,,,,,,,,,
24,14,-4067.27,,,,,,,,,,,,,,,,,,,
23,15,-14757.8,,,,,,,,,,,,,,,,,,,
22,16,-26861.2,,,,,,,,,,,,,,,,,,,
21,17,-29798.1,,,,,,,,,,,,,,,,,,,
20,18,-34714.6,,,,,,,,,,,,,,,,,,,
19,19,-28800.7,,,,,,,,,,,,,,,,,,,
18,20,-22059.2,,,,,,,,,,,,,,,,,,,
17,21,-4937.01,,,,,,,,,,,,,,,,,,,
16,22,9101.01,,,,,,,,,,,,,,,,,,,
27,12,43568.01,,,,,,,,,,,,,,,,,,,
26,13,21396.42,,,,,,,,,,,,,,,,,,,
25,14,1928.205,,,,,,,,,,,,,,,,,,,
24,15,-12873.7,,,,,,,,,,,,,,,,,,,
23,16,-23162.2,,,,,,,,,,,,,,,,,,,
22,17,-29800.2,,,,,,,,,,,,,,,,,,,
21,18,-33242,,,,,,,,,,,,,,,,,,,
20,19,-33807,,,,,,,,,,,,,,,,,,,
19,20,-27274.4,,,,,,,,,,,,,,,,,,,
18,21,-14168,,,,,,,,,,,,,,,,,,,
17,22,1500.01,,,,,,,,,,,,,,,,,,,
28,12,50235.01,,,,,,,,,,,,,,,,,,,
27,13,29295.01,,,,,,,,,,,,,,,,,,,
26,14,5467.052,,,,,,,,,,,,,,,,,,,
25,15,-8106.84,,,,,,,,,,,,,,,,,,,
24,16,-22866.6,,,,,,,,,,,,,,,,,,,
23,17,-27557.8,,,,,,,,,,,,,,,,,,,
22,18,-35039.9,,,,,,,,,,,,,,,,,,,
21,19,-33535.2,,,,,,,,,,,,,,,,,,,
20,20,-34846.3,,,,,,,,,,,,,,,,,,,
19,21,-20523.2,,,,,,,,,,,,,,,,,,,
18,22,-8850.28,,,,,,,,,,,,,,,,,,,
17,23,10330.01,,,,,,,,,,,,,,,,,,,
28,13,35704.01,,,,,,,,,,,,,,,,,,,
27,14,13562.55,,,,,,,,,,,,,,,,,,,
26,15,-5276.51,,,,,,,,,,,,,,,,,,,
25,16,-19019.1,,,,,,,,,,,,,,,,,,,
24,17,-27307.2,,,,,,,,,,,,,,,,,,,
23,18,-33067.5,,,,,,,,,,,,,,,,,,,
22,19,-35559.1,,,,,,,,,,,,,,,,,,,
21,20,-35137.8,,,,,,,,,,,,,,,,,,,
20,21,-28642.4,,,,,,,,,,,,,,,,,,,
19,22,-15700,,,,,,,,,,,,,,,,,,,
18,23,-205.01,,,,,,,,,,,,,,,,,,,
29,13,43678.01,,,,,,,,,,,,,,,,,,,
28,14,18434.01,,,,,,,,,,,,,,,,,,,
27,15,938.865,,,,,,,,,,,,,,,,,,,
26,16,-17677.5,,,,,,,,,,,,,,,,,,,
25,17,-24913,,,,,,,,,,,,,,,,,,,
24,18,-34422.7,,,,,,,,,,,,,,,,,,,
23,19,-35021.6,,,,,,,,,,,,,,,,,,,
22,20,-38547.1,,,,,,,,,,,,,,,,,,,
21,21,-32121.2,,,,,,,,,,,,,,,,,,,
20,22,-25121.6,,,,,,,,,,,,,,,,,,,
19,23,-8169.01,,,,,,,,,,,,,,,,,,,
18,24,5990.01,,,,,,,,,,,,,,,,,,,
29,14,26697.01,,,,,,,,,,,,,,,,,,,
28,15,5765.948,,,,,,,,,,,,,,,,,,,
27,16,-11965.2,,,,,,,,,,,,,,,,,,,
26,17,-24168.2,,,,,,,,,,,,,,,,,,,
25,18,-32009.8,,,,,,,,,,,,,,,,,,,
24,19,-36593.2,,,,,,,,,,,,,,,,,,,
23,20,-38408.6,,,,,,,,,,,,,,,,,,,
22,21,-36187.9,,,,,,,,,,,,,,,,,,,
21,22,-29321.1,,,,,,,,,,,,,,,,,,,
20,23,-18024,,,,,,,,,,,,,,,,,,,
19,24,-2133.01,,,,,,,,,,,,,,,,,,,
30,14,32844.01,,,,,,,,,,,,,,,,,,,
29,15,12100.01,,,,,,,,,,,,,,,,,,,
28,16,-9116.17,,,,,,,,,,,,,,,,,,,
27,17,-20231.1,,,,,,,,,,,,,,,,,,,
26,18,-32673.1,,,,,,,,,,,,,,,,,,,
25,19,-35809.6,,,,,,,,,,,,,,,,,,,
24,20,-41468.5,,,,,,,,,,,,,,,,,,,
23,21,-37816.1,,,,,,,,,,,,,,,,,,,
22,22,-37548.5,,,,,,,,,,,,,,,,,,,
21,23,-24116.4,,,,,,,,,,,,,,,,,,,
20,24,-13461,,,,,,,,,,,,,,,,,,,
19,25,6399.01,,,,,,,,,,,,,,,,,,,
30,15,17903.01,,,,,,,,,,,,,,,,,,,
29,16,-3252.67,,,,,,,,,,,,,,,,,,,
28,17,-18362.6,,,,,,,,,,,,,,,,,,,
27,18,-29770.6,,,,,,,,,,,,,,,,,,,
26,19,-36608.2,,,,,,,,,,,,,,,,,,,
25,20,-40812,,,,,,,,,,,,,,,,,,,
24,21,-41067.8,,,,,,,,,,,,,,,,,,,
23,22,-39005.7,,,,,,,,,,,,,,,,,,,
22,23,-31879.6,,,,,,,,,,,,,,,,,,,
21,24,-18965.2,,,,,,,,,,,,,,,,,,,
20,25,-5114.01,,,,,,,,,,,,,,,,,,,
19,26,13579.01,,,,,,,,,,,,,,,,,,,
31,15,25504.01,,,,,,,,,,,,,,,,,,,
30,16,699.01,,,,,,,,,,,,,,,,,,,
29,17,-14708.3,,,,,,,,,,,,,,,,,,,
28,18,-29720.1,,,,,,,,,,,,,,,,,,,
27,19,-35418.3,,,,,,,,,,,,,,,,,,,
26,20,-43135.1,,,,,,,,,,,,,,,,,,,
25,21,-41757.1,,,,,,,,,,,,,,,,,,,
24,22,-44123.4,,,,,,,,,,,,,,,,,,,
23,23,-37073,,,,,,,,,,,,,,,,,,,
22,24,-29473.7,,,,,,,,,,,,,,,,,,,
21,25,-12370,,,,,,,,,,,,,,,,,,,
20,26,755.01,,,,,,,,,,,,,,,,,,,
31,16,8002.01,,,,,,,,,,,,,,,,,,,
30,17,-10517,,,,,,,,,,,,,,,,,,,
29,18,-25907.8,,,,,,,,,,,,,,,,,,,
28,19,-35696.3,,,,,,,,,,,,,,,,,,,
27,20,-42340.1,,,,,,,,,,,,,,,,,,,
26,21,-44332.1,,,,,,,,,,,,,,,,,,,
25,22,-44932.4,,,,,,,,,,,,,,,,,,,
24,23,-42002.1,,,,,,,,,,,,,,,,,,,
23,24,-34558.4,,,,,,,,,,,,,,,,,,,
22,25,-22263,,,,,,,,,,,,,,,,,,,
21,26,-6623.01,,,,,,,,,,,,,,,,,,,
20,27,10703.01,,,,,,,,,,,,,,,,,,,
32,16,13199.01,,,,,,,,,,,,,,,,,,,
31,17,-4704.01,,,,,,,,,,,,,,,,,,,
30,18,-23716,,,,,,,,,,,,,,,,,,,
29,19,-32123.9,,,,,,,,,,,,,,,,,,,
28,20,-44214.1,,,,,,,,,,,,,,,,,,,
27,21,-44496.1,,,,,,,,,,,,,,,,,,,
26,22,-48487.7,,,,,,,,,,,,,,,,,,,
25,23,-44475.4,,,,,,,,,,,,,,,,,,,
24,24,-42819.2,,,,,,,,,,,,,,,,,,,
23,25,-29323.4,,,,,,,,,,,,,,,,,,,
22,26,-18160,,,,,,,,,,,,,,,,,,,
21,27,1639.01,,,,,,,,,,,,,,,,,,,
20,28,18397.01,,,,,,,,,,,,,,,,,,,
33,16,22001.01,,,,,,,,,,,,,,,,,,,
32,17,298.01,,,,,,,,,,,,,,,,,,,
31,18,-18146,,,,,,,,,,,,,,,,,,,
30,19,-30319.3,,,,,,,,,,,,,,,,,,,
29,20,-41289.3,,,,,,,,,,,,,,,,,,,
28,21,-46552.4,,,,,,,,,,,,,,,,,,,
27,22,-48558.8,,,,,,,,,,,,,,,,,,,
26,23,-47956.9,,,,,,,,,,,,,,,,,,,
25,24,-45330.5,,,,,,,,,,,,,,,,,,,
24,25,-37615.6,,,,,,,,,,,,,,,,,,,
23,26,-24582,,,,,,,,,,,,,,,,,,,
22,27,-9576.01,,,,,,,,,,,,,,,,,,,
21,28,8998.01,,,,,,,,,,,,,,,,,,,
33,17,7303.01,,,,,,,,,,,,,,,,,,,
32,18,-14503,,,,,,,,,,,,,,,,,,,
31,19,-25352.1,,,,,,,,,,,,,,,,,,,
30,20,-39570.8,,,,,,,,,,,,,,,,,,,
29,21,-44536.9,,,,,,,,,,,,,,,,,,,
28,22,-51426.7,,,,,,,,,,,,,,,,,,,
27,23,-49221.6,,,,,,,,,,,,,,,,,,,
26,24,-50259.5,,,,,,,,,,,,,,,,,,,
25,25,-42626.8,,,,,,,,,,,,,,,,,,,
24,26,-34475.5,,,,,,,,,,,,,,,,,,,
23,27,-17195,,,,,,,,,,,,,,,,,,,
22,28,-3791.01,,,,,,,,,,,,,,,,,,,
34,17,13497.01,,,,,,,,,,,,,,,,,,,
33,18,-7797.01,,,,,,,,,,,,,,,,,,,
32,19,-22002,,,,,,,,,,,,,,,,,,,
31,20,-35863.3,,,,,,,,,,,,,,,,,,,
30,21,-43218.2,,,,,,,,,,,,,,,,,,,
29,22,-49727.8,,,,,,,,,,,,,,,,,,,
28,23,-52201.4,,,,,,,,,,,,,,,,,,,
27,24,-51448.8,,,,,,,,,,,,,,,,,,,
26,25,-48241.3,,,,,,,,,,,,,,,,,,,
25,26,-40222.3,,,,,,,,,,,,,,,,,,,
24,27,-27274,,,,,,,,,,,,,,,,,,,
23,28,-11439,,,,,,,,,,,,,,,,,,,
34,18,-2999.01,,,,,,,,,,,,,,,,,,,
33,19,-16199,,,,,,,,,,,,,,,,,,,
32,20,-32509.1,,,,,,,,,,,,,,,,,,,
31,21,-40356.5,,,,,,,,,,,,,,,,,,,
30,22,-49464.8,,,,,,,,,,,,,,,,,,,
29,23,-51441.3,,,,,,,,,,,,,,,,,,,
28,24,-55416.9,,,,,,,,,,,,,,,,,,,
27,25,-50705.4,,,,,,,,,,,,,,,,,,,
26,26,-48331.6,,,,,,,,,,,,,,,,,,,
25,27,-33916,,,,,,,,,,,,,,,,,,,
24,28,-22654,,,,,,,,,,,,,,,,,,,
23,29,-2627.01,,,,,,,,,,,,,,,,,,,
35,18,4602.01,,,,,,,,,,,,,,,,,,,
34,19,-11998,,,,,,,,,,,,,,,,,,,
33,20,-27898,,,,,,,,,,,,,,,,,,,
32,21,-37623,,,,,,,,,,,,,,,,,,,
31,22,-46828.8,,,,,,,,,,,,,,,,,,,
30,23,-51848.8,,,,,,,,,,,,,,,,,,,
29,24,-55284.7,,,,,,,,,,,,,,,,,,,
28,25,-54687.9,,,,,,,,,,,,,,,,,,,
27,26,-50945.3,,,,,,,,,,,,,,,,,,,
26,27,-42644.8,,,,,,,,,,,,,,,,,,,
25,28,-29370,,,,,,,,,,,,,,,,,,,
24,29,-13460,,,,,,,,,,,,,,,,,,,
35,19,-5403.01,,,,,,,,,,,,,,,,,,,
34,20,-23893,,,,,,,,,,,,,,,,,,,
33,21,-34218.8,,,,,,,,,,,,,,,,,,,
32,22,-45594.4,,,,,,,,,,,,,,,,,,,
31,23,-49891,,,,,,,,,,,,,,,,,,,
30,24,-56932.5,,,,,,,,,,,,,,,,,,,
29,25,-55555.4,,,,,,,,,,,,,,,,,,,
28,26,-56252.5,,,,,,,,,,,,,,,,,,,
27,27,-48009.5,,,,,,,,,,,,,,,,,,,
26,28,-39210.8,,,,,,,,,,,,,,,,,,,
25,29,-21694,,,,,,,,,,,,,,,,,,,
24,30,-6567.01,,,,,,,,,,,,,,,,,,,
36,19,-270.01,,,,,,,,,,,,,,,,,,,
35,20,-18118,,,,,,,,,,,,,,,,,,,
34,21,-29580.6,,,,,,,,,,,,,,,,,,,
33,22,-41670.3,,,,,,,,,,,,,,,,,,,
